ID,談話関係,Arg1（1つ目の文）,Arg2（2つ目の文）
w201106-0002500237,逆接・譲歩(順方向),特許文献２には、ｐＨ１〜５で溶解したキトサン（塩基性多糖類）含む消臭剤が、生ゴミや糞尿臭に有効であることが開示されている。,しかしながら、この消臭剤は、脂肪酸臭やアルデヒド臭に対しては効果的でない。
w201106-0002500237,原因・理由(順方向),また、キトサンは水不溶性であるため、,水溶液系の消臭剤には適さない。
w201106-0002100292,原因・理由(順方向),このメインゲートイーストからすぐのモーテルにはレストランがあり、,食事をお楽しみいただけます。
w201106-0002100292,原因・理由(順方向),このモーテルにはのんびりくつろぐのに最適な屋外プールもあります。,水着と日焼け止めをどうぞお忘れなく。
w201106-0000180440,原因・理由(順方向),オーム社主催の第二種電気工事士試験突破研究会を下記要領で開催いたします。,どうぞお気軽にお越しください。
w201106-0000180440,原因・理由(順方向),合格に必要なポイントをわかりやすく解説いたします。,どうぞお気軽にお越しください。
w201106-0000931046,原因・理由(逆方向),スープ類はお時間を頂戴しております。,それはちゃんと煮込むからです。
w201106-0000931046,目的(逆方向),スープ類はお時間を頂戴しております。,温め直しではない本物の美味をお楽しみ下さい。
w201106-0000931046,原因・理由(順方向),それはちゃんと煮込むからです。,温め直しではない本物の美味をお楽しみ下さい。
w201106-0002400015,原因・理由(順方向),とても軽いので,エコバッグとして、毎日のお買い物にも使いたいですね。
w201106-0002400015,原因・理由(順方向),上部に留め具もついているので、,荷物のはみ出し防止にもなります。
w201106-0001701765,原因・理由(順方向)  談話関係なし:少数意見,これがあるから、,まだまだ油断がならない。
w201106-0001701765,逆接・譲歩(順方向),まだまだ油断がならない。,でも、こんな景色も好きだ。
w201106-0001701765,談話関係なし  原因・理由(順方向):少数意見,でも、こんな景色も好きだ。,桜の代わり、季節外れの雪見を楽しむことにしよう。
w201106-0001373472,談話関係なし  原因・理由(順方向):少数意見,生地にだし、しょうゆを加え、,味つけしたたこ焼きです。
w201106-0001373472,談話関係なし  原因・理由(順方向):少数意見,味つけしたたこ焼きです。,電子レンジで温めるだけで簡単に調理できます。
w201106-0001373472,談話関係なし  原因・理由(順方向):少数意見,電子レンジで温めるだけで簡単に調理できます。,７個の個食パックでおやつ、夜食に最適です。
w201106-0001081026,原因・理由(順方向),高梁市内を移動図書館が巡回しています。,お近くの方は、気軽にご利用ください。
w201106-0000865021,目的(順方向),岩手県立総合教育センターの研究について検索することができます。,ご利用の前に、必ず＜教育研究文献情報データベース運用規程＞をご覧下さい。
w201106-0001880261,原因・理由(順方向),ホテル内にミニ図書館がございます。,お好みの本をお部屋でゆったりとご覧下さい。
w201106-0002200337,原因・理由(順方向),ジェームスタウンの観光名所・スポットに関する情報が満載。,ジェームスタウン旅行前の観光情報のチェックには、トリップアドバイザーをご活用ください。
w201106-0002200337,原因・理由(順方向),ジェームスタウンにある７件の観光名所を、１００件の口コミや写真・マップと共にご紹介しています。,ジェームスタウン旅行前の観光情報のチェックには、トリップアドバイザーをご活用ください。
w201106-0000667613,条件(順方向),ランキングは健全に行われてこそ,意味が有ります。
w201106-0000667613,条件(順方向),状況を見て,廃止する場合も有ります。
w201106-0001018001,原因・理由(順方向),社員教育メールの購読は、こちらでお申し込み頂けます。,下記のお申し込みフォームにご入力頂き、
w201106-0001018001,原因・理由(順方向),社員教育メールの購読は、こちらでお申し込み頂けます。,「購読」ボタンをクリックしてください。
w201106-0001018001,条件(順方向),正しく登録されますと、,メールアドレスに確認のメールが届きます。
w201106-0001005440,談話関係なし  原因・理由(順方向):少数意見,龍泉洞の水と厳選した良質の手焼焙煎コーヒー豆でつくりあげたのが「龍泉洞珈琲」です。,最上の素材と最高の技法で完成した極上の味をお楽しみください。
w201106-0001005440,談話関係なし  目的(逆方向):少数意見,水との相性を考えながら,それぞれ焙煎しました。
w201106-0000419346,原因・理由(逆方向),福岡市・福岡近郊へのご出張・ご旅行には、快適・便利な福徳不動産のマンスリーマンションがおすすめです。,敷金・礼金・仲介料も不要で
w201106-0000419346,原因・理由(逆方向),福岡市・福岡近郊へのご出張・ご旅行には、快適・便利な福徳不動産のマンスリーマンションがおすすめです。,手続きも簡単。
w201106-0000419346,原因・理由(逆方向),福岡市・福岡近郊へのご出張・ご旅行には、快適・便利な福徳不動産のマンスリーマンションがおすすめです。,アクセスも便利な物件をご提供しております。
w201106-0000419346,談話関係なし  原因・理由(順方向):少数意見,敷金・礼金・仲介料も不要で,手続きも簡単。
w201106-0002400394,逆接・譲歩(順方向)  談話関係なし:少数意見,みんな潰瘍性大腸炎にかかってしまったことは同じ。,でも、通院している病院はいろいろだし
w201106-0002400394,逆接・譲歩(順方向)  談話関係なし:少数意見,みんな潰瘍性大腸炎にかかってしまったことは同じ。,かかっている医師も違う。
w201106-0002400394,逆接・譲歩(順方向),自分が過去に通っていたクリニックは、胃腸の検査は良くやっているけど、,ＵＣの患者が殆ど来ないところ。
w201106-0000816772,逆接・譲歩(順方向),５年前から育てているテマリカンボクですが、,一度も花が咲きません。
w201106-0000816772,逆接・譲歩(逆方向),一度も花が咲きません。,日当たりの良い庭に地植えしています。
w201106-0000816772,条件(順方向),今後どのように管理すると,花が咲きやすいのでしょうか。
w201106-0002300252,逆接・譲歩(順方向),他の炭酸水でペットボトル入りがありますが、,敢えて缶入りを購入しました。
w201106-0000433407,談話関係なし  原因・理由(逆方向):少数意見,愛煙家にとって世の中いたる所で居場所が無くなっている現在、又もう１カ所喫煙禁止場所が増えてしまった。,ベランダのみ禁煙になる。
w201106-0000433407,逆接・譲歩(順方向),今までは自分のキャビンとベランダは喫煙が可能であったが、,ベランダのみ禁煙になる。
w201106-0000192866,逆接・譲歩(順方向),マーサが青年をベッドに誘おうとしても、,ジョージは文句を言わない。
w201106-0000192866,原因・理由(逆方向),ジョージは文句を言わない。,すでに二人の間には、愛のかけらもなかったのだ。
w201106-0000830682,原因・理由(順方向),東京駅の八重洲口、大丸の隣には、お土産を購入できるエリアがある。,便利に利用することができる。
w201106-0000830682,原因・理由(順方向),それほど広く無いスペースに沢山のお店があり、,様々なお土産ニーズに応えることができる。
w201106-0000830682,原因・理由(順方向)  談話関係なし:少数意見,それほど広く無いスペースに沢山のお店があり、,便利に利用することができる。
w201106-0000830682,原因・理由(順方向),様々なお土産ニーズに応えることができる。,便利に利用することができる。
w201106-0000830682,原因・理由(順方向),鳩サブレとか、ひよことか、雷おこしなんていう東京銘菓も販売されているので、,便利に利用することができる。
w201106-0000252479,原因・理由(順方向),全ての都道府県に１つずつ設置されている。,各神社庁は、「○○県神社庁」のような名称となっている。
w201106-0000120039,条件(順方向)  談話関係なし:少数意見,仲の良い人や気になる人とは友達になりましょう。,マイページからブログの更新やつぶやきをチェックできます。
w201106-0000120039,談話関係なし  条件(逆方向):少数意見,マイページからブログの更新やつぶやきをチェックできます。,友達にブログの書き込み権限を渡してあげましょう。
w201106-0000120039,条件(順方向),一緒にブログを書きたいと思ったら、,友達にブログの書き込み権限を渡してあげましょう。
w201106-0000253656,逆接・譲歩(順方向),空は少し曇ってはいますが、,今日はなかなかの爽やかな１日になりそうです。
w201106-0002400130,原因・理由(順方向),当駅のテーマは「モクレン」である。,コンコース壁画はモクレンである。
w201106-0002600268,原因・理由(逆方向),ドア間は２０７系の７人掛から６人掛に減らし、,かねてより、利用者から７人掛けシートの廃止を求める声を反映したものである。
w201106-0002200090,対比(方向なし),投票だけをするもよし。,コメントするだけでもよし。
w201106-0000069324,原因・理由(順方向),海外留学では、十分な語学力を身につけておくことが重要。,出願の１年前から語学能力試験を計画的に受験することをお勧めします。
w201106-0000403896,原因・理由(順方向),財産管理課では、公用車両・玄関マットへ有料広告を掲載していただける方を募集しています。,ご協力いただける方は、以下の要項を参照していただき、
w201106-0000403896,原因・理由(順方向),財産管理課では、公用車両・玄関マットへ有料広告を掲載していただける方を募集しています。,応募をお願いします。
w201106-0000403896,原因・理由(順方向)  談話関係なし:少数意見,財産管理課では、公用車両・玄関マットへ有料広告を掲載していただける方を募集しています。,たくさんの方の応募をお待ちしております。
w201106-0000403896,条件(順方向),ご協力いただける方は、以下の要項を参照していただき、,応募をお願いします。
w201106-0000403896,談話関係なし  原因・理由(逆方向):少数意見,応募をお願いします。,たくさんの方の応募をお待ちしております。
w201106-0001413403,対比(方向なし),アウトレット商品はもちろんですが、,今年の新商品も揃えています。
w201106-0002900185,原因・理由(順方向),金属製ですので、,しっかり髪に留まります。
w201106-0000303330,原因・理由(逆方向),先日、北越谷カントリークラブで練習ラウンドをしてきました。,どうしても、ウェッジを芝の上で試したくなったからです。
w201106-0000303330,逆接・譲歩(逆方向)  談話関係なし:少数意見,先日、北越谷カントリークラブで練習ラウンドをしてきました。,風が厳しかったですが、
w201106-0000303330,談話関係なし  逆接・譲歩(逆方向):少数意見,どうしても、ウェッジを芝の上で試したくなったからです。,風が厳しかったですが、
w201106-0000303330,逆接・譲歩(順方向),風が厳しかったですが、,そんなのは関係ありません。
w201106-0001968824,原因・理由(順方向)  談話関係なし:少数意見,カーブスはアメリカ生まれの女性専用の運動施設です。,若い方はもちろん年配の方にも喜ばれています。
w201106-0001968824,原因・理由(逆方向),若い方はもちろん年配の方にも喜ばれています。,空いた時間に３０分、楽しく続けられる工夫もいっぱいです。
w201106-0002900207,原因・理由(順方向),かつて暴言を吐きまくり、,日本中のバッシングを受けた亀田一家。
w201106-0002900207,逆接・譲歩(順方向)  談話関係なし:少数意見,かつて暴言を吐きまくり、,しかし謝罪会見をきっかけに長男興毅は敬語を使い、
w201106-0002900207,談話関係なし  逆接・譲歩(順方向):少数意見,かつて暴言を吐きまくり、,頭を下げるように…。
w201106-0002900207,逆接・譲歩(順方向)  談話関係なし:少数意見,日本中のバッシングを受けた亀田一家。,しかし謝罪会見をきっかけに長男興毅は敬語を使い、
w201106-0002900207,談話関係なし  逆接・譲歩(順方向):少数意見,日本中のバッシングを受けた亀田一家。,頭を下げるように…。
w201106-0002900207,談話関係なし  原因・理由(順方向):少数意見,しかし謝罪会見をきっかけに長男興毅は敬語を使い、,この変化の理由をたかじんが追及！
w201106-0002900207,談話関係なし  原因・理由(順方向):少数意見,頭を下げるように…。,この変化の理由をたかじんが追及！
w201106-0001606303,原因・理由(順方向),キダチアロエは、胃腸の働きを活発にして,便秘解消に効果があります。
w201106-0002900297,逆接・譲歩(順方向),最近はＸｂｏｘ３６０をやっていますが,全然熱中できません。
w201106-0001845859,条件(順方向),インターネット環境が整っていれば、,初心者でも簡単に利用できます。
w201106-0001845859,原因・理由(順方向),初心者でも簡単に利用できます。,アンケート・モニターは最近人気の初心者向けネット副業だそうです。
w201106-0002800319,原因・理由(順方向),在庫数に限りがありますので、,ＰＳ２０５は予約商品とさせていただきます。
w201106-0002800319,原因・理由(順方向),在庫数に限りがありますので、,ご検討の方はお早めにご注文下さいませ。
w201106-0002800319,原因・理由(順方向),ＰＳ２０５は予約商品とさせていただきます。,ご検討の方はお早めにご注文下さいませ。
w201106-0002800319,原因・理由(逆方向),ご検討の方はお早めにご注文下さいませ。,予約順での発送となります。
w201106-0001217913,条件(順方向),全力で走れば、,分かるでしょう。
w201106-0001217913,談話関係なし  原因・理由(順方向):少数意見,分かるでしょう。,限界を決めるのはそれからにします。
w201106-0000674522,原因・理由(順方向),アール・ヌーヴォーの環境の中で鉄工芸の技術を習得し、,鉄という素材を熟知するようになる。
w201106-0002400191,原因・理由(順方向),更に贅沢にスチーマーでトリートメント成分をぎゅっと閉じ込め、,うるツヤの髪を実現。
w201106-0000585746,談話関係なし  条件(順方向):少数意見,「デイコース」は１日の約定代金の合計金額に応じて,手数料を計算します。
w201106-0000897540,条件(順方向),郵便事業だけでなく、簡保、郵貯の２つの事業を見据えないと,郵政民営化問題の本質はとらえられない。
w201106-0001239347,原因・理由(逆方向),１０００万増の７０００万円でサインした。,「思ってた数字がポンと出てきた。
w201106-0001239347,談話関係なし  原因・理由(順方向):少数意見,１０００万増の７０００万円でサインした。,厳しいと思ってたので」と、にこやかな表情を浮かべていた。
w201106-0001239347,談話関係なし  原因・理由(順方向):少数意見,今季４６試合に登板した中継ぎ右腕は、２勝１敗、防御率２・２０の好成績を残した。,「思ってた数字がポンと出てきた。
w201106-0001239347,原因・理由(順方向),「思ってた数字がポンと出てきた。,厳しいと思ってたので」と、にこやかな表情を浮かべていた。
w201106-0000519930,原因・理由(順方向),名鉄バスでは、高速バスの予約サイトや一般路線時刻検索サイトなどを集約したモバイルサイトを新設いたしました。,いつでもすぐに高速バスの予約や一般路線の時刻・運賃検索が可能です。
w201106-0000519930,談話関係なし  原因・理由(順方向):少数意見,名鉄バスでは、高速バスの予約サイトや一般路線時刻検索サイトなどを集約したモバイルサイトを新設いたしました。,また、高速バスや長島温泉バスなどの運休情報を確認することが出来ます。
w201106-0000519930,条件(順方向),こちらをお気に入りなどに登録しておけば、,いつでもすぐに高速バスの予約や一般路線の時刻・運賃検索が可能です。
w201106-0000519930,談話関係なし  条件(順方向):少数意見,こちらをお気に入りなどに登録しておけば、,また、高速バスや長島温泉バスなどの運休情報を確認することが出来ます。
w201106-0001289008,談話関係なし  逆接・譲歩(逆方向):少数意見,当店では伊豆下田で採れた新鮮な地魚を豊富にとりそろえております。,天候にもよりますが、
w201106-0001289008,逆接・譲歩(順方向),天候にもよりますが、,白身を中心とした地魚は１０種類以上にもなります。
w201106-0000543750,その他根拠(順方向),薄毛になるには、,原因があるはずです。
w201106-0000543750,原因・理由(順方向),原因があるはずです。,この機会にチェックしてみましょう。
w201106-0000543750,原因・理由(順方向),自分ではあたりまえの生活習慣などが、薄毛の症状をひきおこしているかもしれません。,この機会にチェックしてみましょう。
w201106-0002700384,条件(順方向),テンプレートが更新されれば、,そのテンプレートを呼び出しているページにも変更が反映されます。
w201106-0002700384,逆接・譲歩(順方向),そのテンプレートを呼び出しているページにも変更が反映されます。,しかし、それでは不便なこともあります。
w201106-0001123763,談話関係なし  原因・理由(順方向):少数意見,優れた作品は小誌に掲載し、,原稿料をお支払いいたします。
w201106-0000474521,目的(順方向),第１条市民の教育と文化の発展に寄与するため，,図書館を設置する。
w201106-0000474521,談話関係なし  目的(順方向):少数意見,第１条市民の教育と文化の発展に寄与するため，,３京都市中央図書館に分館を置く。
w201106-0002700382,逆接・譲歩(順方向),それ以来、読むこと３度目だが、,いささかもその面白さは損なわれることはない。
w201106-0002700382,談話関係なし  逆接・条件(逆方向):少数意見,いささかもその面白さは損なわれることはない。,何度読んでも
w201106-0002700382,談話関係なし  逆接・譲歩(順方向):少数意見,何度読んでも,感動を味わえるということは、それだけ人間が描かれている証左であろう。
w201106-0002700025,逆接・譲歩(順方向),国の公用語はフィリピノ（タガログ）語。,ただし、ビサヤ諸島のビサヤ語など、地方によってはタガログ語以外のフィリピノ語が使われている。
w201106-0002700025,逆接・譲歩(順方向),国の公用語はフィリピノ（タガログ）語。,マニラ近郊のカビテ州の一部やミンダナオ島の一部では、スペイン語を多く含むチャバカノ語も話されている。
w201106-0002700025,談話関係なし  逆接・譲歩(逆方向):少数意見,ただし、ビサヤ諸島のビサヤ語など、地方によってはタガログ語以外のフィリピノ語が使われている。,マニラ近郊のカビテ州の一部やミンダナオ島の一部では、スペイン語を多く含むチャバカノ語も話されている。
w201106-0001868494,目的(順方向),●質問とその答えに責任を持つため,匿名は堅くお断りいたします。
w201106-0001824050,原因・理由(順方向),周囲は公園になっていて,自由に歩けます。
w201106-0001824050,原因・理由(順方向),堀や石垣なども残っていて、,いい雰囲気を作っています。
w201106-0002800002,原因・理由(順方向)  談話関係なし:少数意見,今年は学園祭でクリスマスソングを演奏するチャンスに恵まれた。,来年もできたらいいなぁ・・・。
w201106-0002800002,条件(順方向),もしブラバン出身の学生がゴロゴロいたら、,是非この曲を。
w201106-0001859010,その他根拠(順方向),電報には台紙などで紙を使います。,消費される紙の量も相当でしょう。
w201106-0001859010,その他根拠(順方向),１年間で送られる電報の数を考えれば、,消費される紙の量も相当でしょう。
w201106-0000703903,談話関係なし  原因・理由(逆方向):少数意見,最新のご家庭用美顔器や美容アイテムのおすすめ品などをご紹介しております。,現在エステサロンなどで活躍している光やレーザー、高周波などの技術が家庭用で手軽に利用できるようになりました。
w201106-0000703903,原因・理由(順方向)  談話関係なし:少数意見,最新のご家庭用美顔器や美容アイテムのおすすめ品などをご紹介しております。,是非ご参考にしてみて下さい。
w201106-0000703903,原因・理由(順方向),当サイトでは安全に効果的な商品をおすすめしておりますので,是非ご参考にしてみて下さい。
w201106-0000575453,条件(順方向),形態上から見ると、,和書、漢籍、錦絵、地図、書簡、書画・拓本と多岐にわたります。
w201106-0000792966,条件(順方向),届け出が遅くなると、,年金の受給権がつかなくなることもありますので、
w201106-0000792966,原因・理由(順方向),年金の受給権がつかなくなることもありますので、,ご注意ください。
w201106-0001593595,逆接・譲歩(順方向),最近では雑誌やテレビなどでも、医療レーザー脱毛が多く取り上げられています。,しかし正しい情報はどこにあるのか、
w201106-0001593595,原因・理由(順方向)  談話関係なし:少数意見,最近では雑誌やテレビなどでも、医療レーザー脱毛が多く取り上げられています。,当クリニックにも、連日たくさんの質問や相談がよせられます。
w201106-0001593595,その他根拠(逆方向)  談話関係なし:少数意見,悩まれている方も多いのではないでしょうか。,当クリニックにも、連日たくさんの質問や相談がよせられます。
w201106-0000866689,談話関係なし  原因・理由(逆方向):少数意見,「ヨード卵・光のスーパーリッチマヨネーズ」が２０１０年度モンドセレクションにおいて金賞を受賞しました。,ヨード卵・光の卵黄だけをたっぷり１８％使用することで、コクのあるおいしさを引き出しました。
w201106-0000866689,談話関係なし  原因・理由(順方向):少数意見,ヨード卵・光の卵黄だけをたっぷり１８％使用することで、コクのあるおいしさを引き出しました。,濃厚でまろやかな味わいなので、
w201106-0000866689,原因・理由(順方向),濃厚でまろやかな味わいなので、,色々な料理に適しています。
w201106-0001423619,目的(逆方向),おどや販売部長の土谷が山形のワイナリーにお願いして、,おいしいワインを作ってもらいました。
w201106-0001423619,目的(逆方向),どなたにも飲みやすいおいしいワインです。,おどや販売部長の土谷が山形のワイナリーにお願いして、
